churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,26,123,195.5,16.62,13.7,1
no,0,114,121.2,10.3,12.2,0
no,0,71,61.9,5.26,6.6,2
no,0,113,148.3,12.61,10.1,3
no,24,88,348.5,29.62,7.5,3
no,0,79,103.1,8.76,7.1,0
no,0,97,351.6,29.89,8.7,1
no,37,84,222.0,18.87,11.2,0
yes,0,137,228.5,19.42,12.7,4
no,0,127,163.4,13.89,9.1,0
no,0,96,104.9,8.92,11.2,1
no,0,88,247.6,21.05,12.3,3
yes,0,67,317.8,27.01,5.4,4
no,27,139,280.9,23.88,13.8,1
no,33,66,212.8,18.09,10.0,1
no,0,90,159.5,13.56,13.0,1
no,0,117,239.7,20.37,10.6,0
yes,0,89,169.9,14.44,5.7,5
no,0,112,72.9,6.2,9.5,0
no,0,103,137.3,11.67,7.7,2
no,0,86,245.2,20.84,10.3,0
no,39,115,191.1,16.24,9.5,0
no,0,73,155.5,13.22,14.7,3
no,0,109,258.2,21.95,6.3,0
no,0,117,215.1,18.28,11.1,1
no,0,105,201.5,17.13,10.3,1
yes,0,118,252.4,21.45,11.8,1
no,25,94,195.0,16.58,8.3,0
no,30,128,162.5,13.81,14.5,0
no,0,64,223.7,19.01,10.0,1
no,33,106,187.6,15.95,10.5,3
no,0,102,166.8,14.18,9.4,3
yes,41,85,203.9,17.33,14.6,0
no,0,82,282.2,23.99,10.0,2
no,0,77,165.3,14.05,9.2,3
no,0,67,225.8,19.19,3.5,1
no,28,97,213.0,18.11,8.5,2
no,0,120,162.6,13.82,13.2,3
no,0,133,134.6,11.44,7.4,2
no,24,135,217.2,18.46,11.0,1
no,0,108,269.8,22.93,7.8,3
no,0,57,211.1,17.94,6.8,1
no,0,112,190.2,16.17,11.4,2
no,0,117,267.5,22.74,9.3,2
no,0,67,249.3,21.19,10.2,1
no,0,98,180.0,15.3,8.0,1
yes,30,129,75.3,6.4,5.8,3
no,0,103,177.4,15.08,12.0,1
no,0,97,169.9,14.44,11.4,1
no,34,83,178.2,15.15,11.6,2
no,28,92,187.8,15.96,12.6,3
no,0,98,162.9,13.85,8.2,2
no,41,74,169.5,14.41,6.2,2
no,0,105,212.8,18.09,9.3,0
no,0,93,206.4,17.54,8.3,0
no,0,70,216.9,18.44,7.8,1
yes,0,101,169.1,14.37,13.8,4
no,0,93,170.5,14.49,11.8,3
no,46,97,188.2,16.0,12.1,0
no,0,83,148.9,12.66,8.0,3
no,0,146,226.7,19.27,7.3,1
no,0,109,157.2,13.36,12.0,0
no,0,90,223.3,18.98,6.1,1
yes,0,109,181.0,15.39,11.7,0
yes,0,117,77.1,6.55,8.2,4
no,0,72,164.4,13.97,8.2,2
no,0,98,155.2,13.19,15.0,1
no,0,99,303.5,25.8,13.2,1
no,0,104,204.8,17.41,12.6,3
no,24,101,259.7,22.07,9.8,1
no,29,104,225.9,19.2,8.6,0
yes,0,105,155.0,13.18,8.0,4
no,0,118,208.5,17.72,12.0,1
no,35,104,123.4,10.49,10.9,2
yes,0,125,247.6,21.05,13.9,1
no,0,61,194.9,16.57,11.1,1
yes,0,100,190.9,16.23,8.9,0
no,0,100,173.0,14.71,7.9,1
no,0,93,178.4,15.16,9.5,3
no,0,71,190.6,16.2,10.6,3
no,0,110,213.3,18.13,13.0,0
no,0,87,207.3,17.62,8.7,4
yes,0,131,209.4,17.8,5.3,1
yes,0,72,205.7,17.48,9.8,2
no,21,114,252.2,21.44,4.4,4
no,0,137,189.0,16.07,14.6,0
no,0,99,183.6,15.61,12.5,1
no,0,94,173.7,14.76,11.3,1
no,0,65,187.2,15.91,11.8,4
no,29,102,202.2,17.19,9.0,2
no,21,131,164.5,13.98,9.8,1
no,0,90,147.9,12.57,9.6,3
no,0,100,317.2,26.96,8.3,1
no,0,117,190.9,16.23,12.1,4
no,0,108,206.0,17.51,13.3,1
no,0,125,169.6,14.42,9.4,1
yes,42,89,254.9,21.67,20.0,0
no,0,83,152.3,12.95,14.2,1
yes,0,114,219.9,18.69,9.4,1
no,0,92,227.3,19.32,13.1,1
no,22,102,141.8,12.05,7.2,0
no,0,103,183.5,15.6,9.8,3
no,0,124,132.3,11.25,11.6,1
no,0,119,110.2,9.37,9.2,2
no,0,52,229.4,19.5,12.0,1
yes,0,108,157.5,13.39,9.1,4
yes,27,124,146.6,12.46,6.4,4
no,0,90,193.7,16.46,9.2,2
no,0,92,217.7,18.5,10.9,3
no,0,125,158.2,13.45,6.1,1
no,0,115,230.4,19.58,9.5,1
no,0,96,201.2,17.1,7.1,4
no,0,109,202.6,17.22,9.1,1
no,0,112,173.3,14.73,11.2,3
no,36,117,126.8,10.78,11.2,1
no,23,101,152.0,12.92,10.2,2
no,0,115,276.4,23.49,12.4,1
no,39,68,220.4,18.73,10.5,0
no,28,107,195.5,16.62,6.8,3
no,0,47,195.5,16.62,11.7,1
yes,0,86,177.5,15.09,14.1,2
no,0,121,218.4,18.56,8.5,1
no,43,97,162.1,13.78,11.1,2
no,0,99,221.4,18.82,10.6,1
no,0,119,206.7,17.57,10.1,1
no,0,116,157.6,13.4,7.5,1
no,0,112,248.5,21.12,6.9,1
no,0,115,146.0,12.41,11.5,5
no,0,116,292.1,24.83,9.8,0
yes,0,120,227.4,19.33,15.8,0
no,23,129,247.0,21.0,13.7,0
no,0,117,256.7,21.82,10.2,1
no,24,124,183.4,15.59,9.6,1
no,0,110,241.5,20.53,12.0,0
no,0,103,135.4,11.51,12.2,1
no,31,126,163.3,13.88,7.5,1
no,0,102,243.2,20.67,10.9,1
no,38,124,193.3,16.43,12.8,1
no,0,87,187.4,15.93,6.3,0
no,0,105,223.5,19.0,13.2,1
no,0,87,211.5,17.98,10.5,3
no,0,87,178.9,15.21,14.1,1
no,0,92,149.4,12.7,6.1,0
no,0,104,169.0,14.37,11.1,2
no,0,91,190.4,16.18,12.2,0
no,0,93,194.1,16.5,16.2,3
no,0,122,292.3,24.85,0.0,3
no,23,125,214.5,18.23,9.5,4
yes,0,94,138.7,11.79,11.9,5
no,36,111,237.7,20.2,9.9,2
no,0,98,254.3,21.62,14.6,2
no,0,68,245.0,20.83,8.4,3
no,0,145,268.5,22.82,10.8,1
no,0,74,64.3,5.47,10.2,1
no,0,71,229.4,19.5,10.9,2
no,0,109,187.4,15.93,9.1,1
no,0,109,90.7,7.71,9.5,1
no,0,74,195.1,16.58,8.8,2
no,0,118,203.2,17.27,13.4,0
no,23,52,166.6,14.16,9.5,1
no,23,86,177.0,15.05,6.8,1
no,0,119,182.2,15.49,9.7,0
yes,0,67,176.3,14.99,10.7,2
yes,26,101,199.7,16.97,13.8,4
no,0,64,177.0,15.05,13.0,0
no,24,146,220.5,18.74,13.1,3
no,0,101,328.2,27.9,11.2,2
no,0,86,184.0,15.64,6.4,3
no,0,109,178.6,15.18,6.8,2
no,0,105,257.5,21.89,9.4,1
no,36,76,209.8,17.83,12.1,1
no,0,98,83.9,7.13,13.7,2
no,0,94,186.7,15.87,10.8,3
no,0,95,151.9,12.91,12.2,3
no,0,112,246.7,20.97,15.8,3
no,0,72,155.6,13.23,11.6,1
no,0,100,247.6,21.05,11.9,0
no,0,93,178.6,15.18,11.5,3
no,0,80,224.2,19.06,4.7,3
no,0,121,110.1,9.36,7.1,0
no,0,116,152.6,12.97,12.2,3
no,22,114,174.5,14.83,10.2,1
no,0,112,272.9,23.2,4.4,1
no,0,113,242.2,20.59,8.9,2
no,0,97,168.2,14.3,13.8,2
no,0,111,234.5,19.93,2.7,1
no,0,85,244.7,20.8,7.7,3
no,27,78,189.6,16.12,9.6,2
no,22,84,313.2,26.62,11.9,0
yes,0,109,129.4,11.0,10.5,0
no,36,110,291.3,24.76,11.0,1
no,0,96,217.0,18.45,13.5,3
no,0,97,220.3,18.73,10.9,0
no,0,140,240.3,20.43,9.0,1
yes,0,106,211.3,17.96,10.2,5
no,40,103,118.8,10.1,9.0,2
no,0,117,200.8,17.07,9.8,3
no,0,148,120.9,10.28,10.7,0
no,0,89,88.3,7.51,12.9,0
yes,0,95,134.1,11.4,12.3,2
no,0,81,176.9,15.04,7.1,3
no,0,107,166.5,14.15,9.5,0
no,37,102,102.2,8.69,11.1,0
no,0,94,149.7,12.72,10.2,0
no,0,85,202.4,17.2,9.2,4
yes,29,99,117.9,10.02,13.9,4
no,0,91,172.0,14.62,14.4,4
no,41,101,230.0,19.55,9.5,0
no,0,117,273.0,23.21,10.9,0
no,32,126,216.5,18.4,14.1,4
no,0,122,172.3,14.65,9.8,1
no,0,118,249.9,21.24,14.5,1
yes,0,111,180.6,15.35,10.4,1
no,0,79,235.3,20.0,8.7,1
no,25,110,209.3,17.79,6.7,1
no,0,88,143.1,12.16,15.4,1
no,0,103,211.3,17.96,11.5,1
no,0,110,221.2,18.8,12.5,1
no,0,55,194.6,16.54,8.3,2
no,30,79,260.0,22.1,11.4,1
no,28,94,193.0,16.41,8.4,4
no,0,89,170.5,14.49,13.5,3
no,0,123,175.4,14.91,9.9,2
no,0,105,224.9,19.12,14.6,0
no,0,121,180.0,15.3,7.7,1
no,28,78,235.2,19.99,8.0,3
no,0,104,234.4,19.92,13.0,3
no,28,90,194.8,16.56,10.0,1
no,0,88,208.0,17.68,11.1,0
yes,48,96,123.4,10.49,6.5,2
no,25,85,225.9,19.2,10.9,2
no,0,135,219.1,18.62,10.5,3
no,0,97,174.0,14.79,13.0,2
no,0,93,210.9,17.93,10.4,2
no,37,115,159.9,13.59,12.2,1
no,24,90,175.7,14.93,15.6,2
no,0,122,128.0,10.88,8.8,2
no,0,88,209.3,17.79,14.5,2
no,0,88,132.4,11.25,14.1,0
yes,0,95,260.9,22.18,5.3,1
no,34,121,219.4,18.65,8.0,0
no,0,110,129.1,10.97,9.7,0
no,0,112,194.0,16.49,5.9,1
no,18,86,133.4,11.34,9.8,1
no,0,115,179.9,15.29,9.5,1
no,0,83,247.7,21.05,10.1,2
no,0,117,184.3,15.67,11.9,0
no,0,129,218.7,18.59,6.6,4
no,0,80,110.4,9.38,11.9,2
yes,0,106,264.8,22.51,5.9,1
no,0,106,292.5,24.86,9.1,1
no,0,117,253.6,21.56,10.3,1
no,0,109,249.5,21.21,9.1,2
yes,0,111,268.5,22.82,8.5,1
yes,0,99,214.8,18.26,11.4,4
no,0,101,190.3,16.18,11.4,0
no,0,128,258.4,21.96,8.9,3
yes,0,109,220.0,18.7,13.2,1
no,38,102,195.9,16.65,9.7,1
no,0,69,169.5,14.41,10.9,0
no,0,136,280.3,23.83,9.8,0
no,0,99,205.4,17.46,18.9,0
no,0,158,306.2,26.03,12.4,1
no,28,105,270.4,22.98,7.7,2
no,29,66,256.8,21.83,7.6,3
no,0,79,259.2,22.03,6.2,0
no,32,79,177.8,15.11,12.9,1
no,0,107,256.9,21.84,10.0,0
no,0,134,246.6,20.96,11.3,1
no,0,91,154.9,13.17,13.4,3
no,30,104,219.5,18.66,7.1,0
no,35,95,209.2,17.78,11.4,1
no,33,109,235.5,20.02,9.5,1
no,0,130,217.1,18.45,12.5,0
no,0,97,240.6,20.45,14.4,0
no,0,98,312.9,26.6,7.9,3
yes,0,83,248.7,21.14,9.5,1
yes,0,121,197.1,16.75,12.2,7
no,0,99,264.1,22.45,9.3,0
no,17,97,138.5,11.77,8.6,1
no,0,70,271.5,23.08,10.6,0
no,0,121,176.6,15.01,7.0,2
no,0,67,199.2,16.93,14.6,0
yes,0,63,176.6,15.01,9.1,1
no,34,105,161.7,13.74,14.0,0
no,21,98,176.1,14.97,0.0,2
no,37,92,83.4,7.09,13.3,1
no,0,131,179.2,15.23,7.2,3
no,33,117,123.0,10.46,12.2,1
no,0,117,155.2,13.19,10.5,1
no,41,122,162.3,13.8,13.1,3
no,0,104,204.7,17.4,11.3,4
no,38,78,234.3,19.92,10.1,4
no,0,112,177.2,15.06,5.3,1
no,0,95,205.1,17.43,14.7,2
yes,0,77,218.6,18.58,13.2,2
no,23,85,227.3,19.32,8.5,2
no,29,109,264.7,22.5,5.8,1
yes,0,53,312.2,26.54,8.8,1
no,0,83,179.7,15.27,11.3,0
no,36,121,232.3,19.75,12.0,1
no,0,87,103.2,8.77,11.3,2
no,0,88,213.7,18.16,10.9,0
no,0,96,264.1,22.45,9.1,4
no,0,127,253.4,21.54,18.0,1
no,0,110,232.2,19.74,7.6,1
no,0,81,225.0,19.13,10.3,1
no,0,110,222.8,18.94,10.6,2
yes,0,57,114.4,9.72,12.4,0
no,0,98,229.9,19.54,14.8,2
no,21,113,180.0,15.3,10.6,0
no,0,87,118.2,10.05,11.2,2
no,0,123,214.5,18.23,6.7,1
yes,0,84,286.2,24.33,11.5,1
no,0,100,160.7,13.66,6.8,2
no,0,118,191.0,16.24,14.7,3
no,0,107,155.4,13.21,14.7,1
no,0,87,145.0,12.33,5.7,0
no,22,82,322.7,27.43,3.7,1
no,0,125,247.1,21.0,7.2,2
no,0,113,220.4,18.73,10.7,4
no,0,102,204.5,17.38,8.5,1
no,0,95,270.2,22.97,10.7,1
no,0,125,243.8,20.72,11.1,1
no,0,129,258.2,21.95,8.7,0
no,0,92,176.2,14.98,12.4,5
no,0,76,205.2,17.44,9.4,2
yes,0,78,205.7,17.48,10.8,0
no,22,89,93.4,7.94,9.7,0
no,0,129,130.7,11.11,8.5,1
yes,0,91,230.0,19.55,10.6,1
no,0,124,110.8,9.42,10.6,0
no,26,108,192.2,16.34,9.9,1
no,0,122,163.2,13.87,11.2,1
no,0,91,160.9,13.68,9.3,0
no,0,78,109.7,9.32,6.8,0
yes,0,134,184.9,15.72,8.5,4
no,0,108,251.3,21.36,10.3,1
no,0,110,197.0,16.75,4.8,2
no,0,90,141.2,12.0,8.4,2
no,0,80,186.2,15.83,10.4,2
no,0,85,242.3,20.6,5.4,0
no,0,77,124.0,10.54,10.0,0
yes,0,99,160.0,13.6,5.0,1
no,0,84,174.8,14.86,9.8,0
no,34,73,194.8,16.56,16.0,1
no,0,98,327.0,27.8,7.5,2
no,28,126,264.4,22.47,9.3,2
no,0,114,176.2,14.98,15.3,1
no,0,122,283.1,24.06,12.5,0
no,45,124,140.3,11.93,10.3,3
no,16,110,130.2,11.07,11.3,1
no,0,131,185.5,15.77,10.9,1
no,0,129,113.4,9.64,12.5,1
no,40,65,216.3,18.39,9.6,1
no,0,91,196.8,16.73,11.2,3
no,0,69,273.3,23.23,12.4,2
yes,0,100,260.6,22.15,13.3,2
no,0,98,282.6,24.02,11.4,1
no,0,77,182.1,15.48,12.8,1
no,0,106,175.3,14.9,11.8,2
no,31,101,203.8,17.32,8.6,0
no,29,80,118.9,10.11,11.2,1
yes,0,76,176.7,15.02,8.3,0
no,0,93,330.6,28.1,13.5,1
no,0,99,197.6,16.8,6.3,2
no,27,141,154.0,13.09,12.3,1
no,0,93,265.7,22.58,12.4,0
no,0,129,187.8,15.96,12.6,1
no,0,107,196.0,16.66,9.6,2
no,0,116,236.0,20.06,9.6,3
no,0,100,134.4,11.42,6.9,2
no,21,79,202.8,17.24,6.3,4
no,0,107,271.2,23.05,12.5,0
no,23,107,246.3,20.94,9.8,0
no,0,115,245.3,20.85,8.3,0
no,20,77,274.0,23.29,14.3,1
yes,0,125,273.9,23.28,11.1,1
yes,0,124,245.4,20.86,14.8,1
no,0,88,180.5,15.34,9.3,2
no,0,99,264.0,22.44,9.7,2
no,0,120,120.4,10.23,11.0,0
no,0,128,220.6,18.75,9.6,1
no,0,109,228.4,19.41,9.6,3
no,18,109,108.1,9.19,10.1,1
no,0,75,195.3,16.6,5.9,0
yes,0,113,167.8,14.26,13.6,3
yes,36,103,181.6,15.44,10.5,3
no,34,63,254.9,21.67,17.2,2
no,0,146,164.6,13.99,10.6,1
no,0,116,248.7,21.14,9.5,3
no,0,117,136.3,11.59,6.3,1
yes,33,59,315.4,26.81,6.2,4
no,20,101,235.1,19.98,14.8,0
no,23,112,162.5,13.81,7.6,3
no,0,134,164.4,13.97,8.1,1
no,0,102,158.1,13.44,11.2,2
no,0,108,253.8,21.57,11.6,1
no,0,123,187.4,15.93,5.3,1
no,0,116,173.7,14.76,8.1,0
no,0,95,256.1,21.77,13.3,2
no,0,132,231.5,19.68,11.0,3
no,16,111,131.8,11.2,6.7,0
no,0,103,221.6,18.84,12.8,0
no,0,100,292.6,24.87,10.5,0
no,0,126,209.8,17.83,0.0,1
no,0,119,230.5,19.59,12.3,1
yes,0,91,256.1,21.77,14.3,1
yes,0,113,260.6,22.15,9.4,2
no,33,104,278.7,23.69,5.9,2
no,0,93,114.6,9.74,8.2,1
no,0,114,180.3,15.33,11.1,2
yes,0,61,105.6,8.98,9.7,4
no,23,102,190.3,16.18,12.6,3
yes,0,61,207.4,17.63,17.5,1
no,26,138,145.5,12.37,9.3,0
no,0,97,154.9,13.17,12.4,0
no,0,66,125.9,10.7,11.1,1
no,31,88,236.6,20.11,11.4,2
yes,0,122,329.8,28.03,5.6,3
no,24,69,222.0,18.87,11.6,1
yes,26,114,199.5,16.96,9.6,5
no,17,102,202.9,17.25,12.3,1
no,0,94,279.3,23.74,14.8,3
no,0,101,204.8,17.41,9.1,2
no,30,74,213.8,18.17,6.6,0
yes,29,113,215.8,18.34,14.0,0
no,0,100,307.2,26.11,7.6,2
no,0,68,158.6,13.48,9.4,2
no,0,92,224.7,19.1,12.9,1
no,0,97,153.8,13.07,9.0,3
no,0,108,154.5,13.13,11.6,1
yes,0,86,161.4,13.72,8.2,4
no,27,84,229.2,19.48,9.2,7
no,0,108,151.3,12.86,9.8,2
no,0,105,171.7,14.59,13.0,1
no,0,88,182.5,15.51,12.5,0
no,22,126,133.4,11.34,11.9,0
no,0,133,157.3,13.37,8.6,2
no,0,110,337.1,28.65,12.1,0
no,0,112,219.1,18.62,6.7,2
no,38,61,253.0,21.51,10.7,2
no,36,117,42.2,3.59,5.4,1
no,0,101,281.1,23.89,18.2,1
no,22,93,183.0,15.56,8.5,0
no,0,126,190.8,16.22,12.4,0
no,0,113,216.6,18.41,9.9,2
no,28,94,168.0,14.28,7.8,1
no,29,77,158.0,13.43,6.6,0
yes,20,120,253.4,21.54,14.2,9
no,0,109,216.5,18.4,3.5,3
no,31,90,243.0,20.66,12.2,3
no,27,106,248.9,21.16,11.9,1
yes,0,90,248.7,21.14,8.4,2
yes,41,91,200.8,17.07,10.3,5
no,31,54,246.3,20.94,5.9,0
no,31,63,205.6,17.48,10.1,4
yes,0,112,258.0,21.93,10.2,3
no,25,84,119.9,10.19,13.1,2
no,20,110,213.7,18.16,9.5,1
yes,0,96,251.1,21.34,8.3,2
no,0,97,136.7,11.62,7.7,2
no,0,103,237.0,20.15,10.7,1
no,28,88,264.2,22.46,9.1,1
no,0,106,98.3,8.36,10.9,1
no,29,104,257.4,21.88,8.0,2
no,0,76,189.0,16.07,4.7,3
no,37,97,271.4,23.07,11.3,2
no,0,73,188.2,16.0,3.6,2
no,0,88,160.6,13.65,10.0,2
no,0,108,196.9,16.74,10.3,1
no,26,107,177.3,15.07,14.5,2
no,0,92,275.0,23.38,10.8,1
no,31,88,248.5,21.12,9.0,3
yes,0,121,276.5,23.5,9.9,2
no,36,90,200.3,17.03,14.2,1
no,0,112,180.0,15.3,11.7,2
no,30,76,229.7,19.52,7.7,1
no,21,108,335.0,28.48,16.5,1
yes,0,151,347.3,29.52,7.4,1
no,25,77,183.2,15.57,10.2,3
no,0,109,155.4,13.21,10.7,1
no,0,75,193.1,16.41,10.3,1
yes,0,128,293.1,24.91,9.8,0
no,0,102,164.7,14.0,10.2,1
no,0,97,203.8,17.32,8.4,1
no,0,85,58.9,5.01,7.4,1
yes,0,118,260.1,22.11,13.5,5
no,14,81,219.0,18.62,8.6,1
no,0,96,207.6,17.65,12.9,1
no,0,85,93.4,7.94,9.6,2
no,29,111,254.1,21.6,9.5,2
no,0,138,161.9,13.76,12.5,2
no,0,70,130.7,11.11,9.6,3
no,0,68,102.6,8.72,9.1,2
no,46,62,200.9,17.08,9.2,0
no,0,89,246.0,20.91,9.1,2
