churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,0,109,165.8,14.09,4.6,1
no,0,95,265.5,22.57,11.6,3
no,0,144,225.2,19.14,11.4,1
yes,0,77,212.5,18.06,12.7,2
no,0,119,289.3,24.59,13.1,0
no,29,107,118.7,10.09,6.6,1
no,0,94,248.6,21.13,10.6,0
no,0,83,154.2,13.11,12.7,1
no,0,108,233.4,19.84,7.7,4
yes,29,82,217.7,18.5,13.2,1
no,37,110,221.9,18.86,7.3,2
no,43,111,200.2,17.02,8.0,1
no,35,138,274.5,23.33,8.8,2
no,0,119,290.9,24.73,14.0,3
no,0,107,154.6,13.14,11.6,1
yes,0,79,188.5,16.02,14.5,0
no,0,89,193.9,16.48,12.8,1
no,33,68,146.9,12.49,10.6,2
no,0,140,146.3,12.44,7.1,3
no,0,110,220.6,18.75,5.1,0
no,0,91,226.7,19.27,13.8,3
yes,37,109,185.3,15.75,4.1,0
no,0,105,160.7,13.66,7.4,4
no,0,119,217.7,18.5,6.5,1
no,0,107,170.9,14.53,13.9,0
no,0,112,230.0,19.55,9.5,0
no,22,97,289.9,24.64,4.8,3
no,34,104,89.7,7.62,15.6,2
no,0,129,224.6,19.09,10.8,2
no,27,84,194.0,16.49,10.2,5
no,0,105,197.3,16.77,9.2,1
no,19,106,127.5,10.84,7.5,0
no,31,94,147.6,12.55,12.9,1
no,0,83,134.0,11.39,11.4,0
no,0,92,173.5,14.75,7.9,2
no,0,120,198.5,16.87,9.8,1
no,0,92,210.5,17.89,11.0,0
no,0,79,265.1,22.53,15.6,0
no,24,114,219.3,18.64,14.0,1
no,22,112,177.9,15.12,8.5,3
no,0,91,127.6,10.85,7.5,1
no,39,122,101.3,8.61,9.1,0
yes,0,97,210.6,17.9,6.0,3
no,0,81,257.2,21.86,11.5,2
no,0,100,204.9,17.42,9.5,1
no,22,65,103.4,8.79,8.5,3
no,31,126,195.5,16.62,10.5,1
yes,0,85,194.1,16.5,9.4,5
no,0,147,161.8,13.75,9.3,0
no,0,101,102.8,8.74,9.3,2
no,0,102,131.4,11.17,9.9,0
no,0,103,164.5,13.98,8.3,1
yes,0,69,305.0,25.93,9.5,1
no,31,70,152.0,12.92,12.0,1
no,0,126,130.1,11.06,7.4,3
no,0,95,166.7,14.17,7.8,1
no,22,110,228.1,19.39,9.2,2
no,0,120,150.2,12.77,9.6,2
no,0,135,188.7,16.04,12.3,1
no,33,108,188.9,16.06,15.5,0
no,26,109,232.3,19.75,16.3,1
no,0,106,144.3,12.27,11.8,0
no,0,99,248.8,21.15,11.2,3
no,0,90,224.7,19.1,7.5,1
no,0,101,129.4,11.0,5.9,1
no,0,99,236.0,20.06,9.4,1
no,0,110,181.2,15.4,8.9,0
yes,0,78,327.0,27.8,8.7,1
no,0,90,189.8,16.13,13.1,1
no,0,100,158.4,13.46,9.3,0
no,38,98,150.5,12.79,11.4,3
no,0,94,241.6,20.54,6.5,1
no,0,90,233.3,19.83,11.1,3
no,32,113,187.0,15.9,8.6,1
no,0,76,214.4,18.22,10.1,3
no,0,101,199.9,16.99,12.6,1
no,0,104,131.8,11.2,8.2,1
no,0,119,192.8,16.39,10.2,1
no,0,36,276.5,23.5,5.7,4
no,29,110,188.5,16.02,8.0,3
no,0,91,268.6,22.83,10.9,6
no,0,98,105.5,8.97,11.6,1
no,0,94,178.4,15.16,7.5,1
no,0,104,273.6,23.26,9.1,0
no,0,89,186.0,15.81,8.4,0
no,0,86,190.8,16.22,11.0,0
no,0,110,129.1,10.97,10.7,0
no,0,95,159.1,13.52,7.7,0
no,0,110,163.9,13.93,14.1,1
no,23,104,189.4,16.1,10.4,1
no,0,95,193.0,16.41,6.5,3
no,0,78,195.3,16.6,3.6,1
no,42,97,223.5,19.0,7.6,3
no,32,111,154.4,13.12,10.6,2
no,0,81,152.5,12.96,9.7,2
no,0,70,216.7,18.42,12.5,3
no,0,104,78.3,6.66,0.0,2
no,0,101,203.0,17.26,6.9,2
no,22,70,211.7,17.99,7.3,2
yes,0,95,242.5,20.61,15.3,1
no,30,130,195.2,16.59,11.4,2
no,0,116,219.2,18.63,7.2,1
no,0,124,169.9,14.44,9.3,1
no,0,88,194.5,16.53,11.7,2
no,38,88,163.7,13.91,7.4,0
yes,36,92,169.3,14.39,10.9,6
no,0,96,193.4,16.44,13.5,1
no,36,103,177.0,15.05,16.4,1
no,0,100,200.2,17.02,11.9,2
no,0,116,170.7,14.51,7.8,1
no,0,111,190.0,16.15,9.2,1
no,39,122,214.2,18.21,12.7,2
no,26,98,175.8,14.94,13.4,0
yes,0,105,202.6,17.22,11.5,3
no,0,121,292.5,24.86,8.0,2
no,0,94,133.2,11.32,7.2,2
no,20,110,169.8,14.43,12.1,1
no,0,98,199.7,16.97,6.5,3
yes,0,89,175.8,14.94,16.7,2
no,0,72,208.6,17.73,8.8,1
no,20,40,189.1,16.07,9.4,1
no,0,133,278.6,23.68,11.5,0
no,17,112,240.6,20.45,11.4,5
no,0,126,163.5,13.9,10.4,1
no,26,97,250.3,21.28,6.6,1
no,0,85,119.0,10.12,6.4,1
no,0,102,196.0,16.66,7.8,1
no,0,120,270.2,22.97,8.7,1
no,32,80,185.5,15.77,8.2,3
no,29,116,186.4,15.84,10.1,0
no,23,94,164.6,13.99,12.7,3
no,0,88,137.6,11.7,11.0,2
no,0,105,121.9,10.36,9.6,1
no,0,88,239.8,20.38,9.8,2
no,0,108,243.3,20.68,13.1,1
no,30,99,220.1,18.71,9.8,2
no,21,88,181.1,15.39,9.5,2
no,0,84,270.8,23.02,10.1,1
no,0,128,227.2,19.31,8.4,2
no,0,78,267.4,22.73,1.3,1
no,35,124,261.0,22.19,15.0,0
no,31,83,219.1,18.62,11.4,0
yes,0,132,243.2,20.67,11.0,0
no,26,150,118.0,10.03,15.2,2
no,0,93,223.0,18.96,9.7,3
no,0,104,250.2,21.27,11.0,1
no,0,54,191.1,16.24,13.3,1
yes,28,97,166.9,14.19,8.8,5
no,0,112,207.0,17.6,9.2,0
yes,0,110,167.9,14.27,7.7,1
no,0,107,197.2,16.76,10.7,1
no,20,133,161.7,13.74,10.5,0
no,24,54,215.0,18.28,5.8,2
no,26,107,217.2,18.46,13.6,6
no,0,100,242.9,20.65,10.1,2
no,0,138,200.9,17.08,10.7,1
no,27,87,142.0,12.07,9.4,1
no,0,124,170.4,14.48,9.4,3
no,22,83,143.7,12.21,11.2,1
no,0,70,263.7,22.41,10.7,3
yes,0,86,208.8,17.75,11.1,2
no,0,97,117.8,10.01,11.8,2
no,0,79,223.2,18.97,10.5,3
no,45,88,198.0,16.83,7.5,0
no,0,86,286.3,24.34,14.1,2
yes,33,98,253.4,21.54,8.2,1
no,0,118,239.7,20.37,15.1,1
no,0,84,269.3,22.89,10.8,1
no,32,89,129.4,11.0,8.4,1
yes,0,126,219.4,18.65,14.5,1
no,22,113,259.4,22.05,14.6,2
no,26,115,137.8,11.71,15.9,1
no,27,96,220.9,18.78,11.3,1
no,0,102,202.4,17.2,9.4,1
no,0,88,318.8,27.1,6.5,0
no,0,86,253.6,21.56,12.6,1
no,0,73,219.3,18.64,9.8,0
no,0,87,201.5,17.13,6.8,0
no,30,89,172.1,14.63,12.1,1
no,17,94,240.0,20.4,5.8,1
no,0,118,242.0,20.57,12.1,1
no,0,89,106.8,9.08,9.9,0
no,0,96,103.0,8.76,13.1,1
no,0,103,276.4,23.49,15.3,0
no,41,115,203.4,17.29,12.4,1
yes,0,102,169.8,14.43,5.7,2
no,0,78,207.5,17.64,12.1,1
no,0,92,163.7,13.91,6.6,2
no,0,127,208.0,17.68,15.1,1
no,0,133,202.7,17.23,13.1,1
no,16,99,76.4,6.49,12.7,2
no,0,110,43.9,3.73,13.1,0
no,24,74,123.9,10.53,10.1,1
no,0,105,211.7,17.99,11.6,1
no,0,117,287.7,24.45,12.2,0
no,0,147,173.4,14.74,5.5,2
no,0,56,230.1,19.56,9.9,2
yes,0,94,93.7,7.96,13.4,3
no,0,86,216.8,18.43,11.8,2
yes,0,106,204.6,17.39,9.4,2
no,0,107,215.6,18.33,10.2,0
no,0,116,115.6,9.83,9.4,3
no,0,75,208.6,17.73,9.9,1
no,31,100,225.5,19.17,9.7,0
no,33,93,162.9,13.85,8.1,0
no,28,79,304.9,25.92,11.9,1
no,0,112,270.5,22.99,9.0,3
no,0,114,150.0,12.75,10.3,5
no,0,58,235.0,19.98,11.4,2
no,0,81,129.4,11.0,15.8,1
no,19,88,162.7,13.83,14.6,1
yes,0,92,190.9,16.23,10.3,1
no,31,101,196.4,16.69,10.3,1
no,0,79,192.4,16.35,9.1,0
no,0,91,264.7,22.5,9.2,2
no,0,110,52.9,4.5,10.9,0
yes,0,89,211.4,17.97,11.0,3
no,0,91,273.5,23.25,9.6,3
no,0,96,235.9,20.05,7.6,3
no,0,135,180.2,15.32,6.2,2
no,0,133,120.7,10.26,12.7,1
no,0,90,196.0,16.66,9.2,1
no,37,94,165.4,14.06,11.7,1
yes,0,114,223.0,18.96,11.3,3
no,0,111,175.2,14.89,9.9,2
no,0,145,196.5,16.7,14.9,1
no,38,132,146.7,12.47,13.1,3
no,0,71,152.7,12.98,12.4,1
no,0,108,183.7,15.61,8.9,3
no,0,114,171.3,14.56,9.9,4
no,27,128,268.2,22.8,11.1,0
no,0,72,154.3,13.12,8.2,1
no,0,89,241.3,20.51,4.0,0
no,0,114,209.5,17.81,7.4,2
no,43,79,174.6,14.84,10.9,1
no,0,109,236.0,20.06,9.3,1
no,0,107,323.2,27.47,7.5,1
no,0,78,204.2,17.36,5.9,1
no,0,66,160.6,13.65,0.0,1
no,33,96,220.4,18.73,11.8,4
no,0,82,185.6,15.78,10.2,1
no,0,113,290.3,24.68,7.2,1
no,0,84,255.9,21.75,8.0,1
no,0,85,143.4,12.19,15.0,2
no,26,108,243.2,20.67,5.4,2
no,31,124,188.9,16.06,8.9,0
no,0,75,264.8,22.51,7.6,1
no,0,112,42.5,3.61,12.4,0
no,0,72,233.6,19.86,12.0,0
no,0,91,158.5,13.47,6.2,1
yes,27,85,221.2,18.8,12.3,1
no,0,91,60.8,5.17,10.7,2
yes,0,96,169.8,14.43,11.9,4
no,0,113,155.5,13.22,14.4,2
no,35,106,200.6,17.05,15.5,0
no,32,113,249.8,21.23,8.7,1
yes,0,107,251.6,21.39,11.3,2
no,0,61,218.8,18.6,8.2,7
no,0,90,196.8,16.73,5.9,0
yes,0,123,210.5,17.89,9.0,1
yes,0,113,70.9,6.03,13.4,4
no,24,83,109.6,9.32,16.9,1
no,0,89,166.4,14.14,15.0,6
no,25,95,163.3,13.88,5.1,0
no,32,80,177.8,15.11,8.1,0
no,0,91,120.4,10.23,10.6,2
no,24,129,289.8,24.63,10.6,1
yes,0,123,288.0,24.48,10.5,0
no,0,122,141.6,12.04,7.5,2
no,0,97,115.7,9.83,8.3,0
no,0,67,217.0,18.45,5.2,1
no,0,110,128.7,10.94,11.0,1
no,0,113,169.0,14.37,9.2,1
no,0,51,219.8,18.68,4.4,1
no,0,107,112.5,9.56,13.8,1
no,0,134,205.9,17.5,7.9,1
no,0,134,80.8,6.87,10.8,1
no,0,127,106.1,9.02,14.0,0
no,24,117,196.0,16.66,11.4,0
no,0,104,145.2,12.34,6.6,1
no,0,68,195.7,16.63,12.0,1
no,0,87,309.2,26.28,10.0,1
yes,0,103,207.7,17.65,14.1,1
no,0,87,133.2,11.32,11.2,1
no,0,88,223.0,18.96,13.0,4
no,37,107,233.9,19.88,9.2,0
no,0,127,189.7,16.12,14.3,1
no,0,90,179.3,15.24,11.9,2
no,0,137,241.4,20.52,15.5,0
no,0,81,287.3,24.42,6.5,2
no,0,88,140.3,11.93,6.4,0
no,0,107,206.9,17.59,12.6,1
yes,28,147,190.7,16.21,9.2,4
no,0,88,145.0,12.33,11.5,2
yes,0,67,261.1,22.19,13.4,2
no,28,75,169.9,14.44,11.0,1
no,0,83,155.4,13.21,8.4,1
no,0,124,222.6,18.92,11.0,1
no,0,89,234.0,19.89,11.6,4
no,0,86,160.5,13.64,10.7,3
no,39,93,187.2,15.91,8.6,2
no,0,123,224.2,19.06,8.6,2
no,34,109,221.4,18.82,10.3,0
no,0,69,285.9,24.3,9.4,0
no,23,97,186.0,15.81,12.3,3
no,0,100,115.7,9.83,12.8,2
no,0,106,187.3,15.92,13.3,3
no,0,81,320.5,27.24,4.2,0
no,0,95,150.1,12.76,7.7,3
no,30,75,165.8,14.09,10.8,1
no,0,130,248.1,21.09,12.2,0
yes,22,63,258.8,22.0,15.7,2
no,0,147,186.7,15.87,9.2,0
yes,33,103,248.2,21.1,13.5,1
no,0,68,262.2,22.29,8.8,0
no,0,122,224.9,19.12,11.5,1
no,0,95,251.2,21.35,5.0,3
no,0,90,163.0,13.86,11.8,1
no,0,90,181.6,15.44,12.3,0
no,31,90,271.0,23.04,9.5,6
yes,0,118,192.1,16.33,10.4,0
no,0,77,131.2,11.15,13.0,0
yes,21,105,162.5,13.81,11.8,4
yes,0,102,266.4,22.64,13.1,4
no,0,70,214.8,18.26,7.8,0
no,0,94,203.9,17.33,11.6,3
no,24,85,239.6,20.37,6.9,1
no,33,106,149.8,12.73,13.0,1
no,0,105,224.6,19.09,9.0,1
no,0,112,306.3,26.04,9.9,1
yes,0,55,249.5,21.21,13.3,1
no,15,102,145.3,12.35,11.8,1
yes,27,103,263.3,22.38,8.3,1
no,0,150,187.5,15.94,13.6,1
no,35,97,135.2,11.49,7.9,2
no,26,104,150.6,12.8,7.7,1
no,0,99,141.6,12.04,9.6,0
no,0,108,152.3,12.95,7.5,1
no,0,101,201.8,17.15,11.6,0
no,0,91,216.1,18.37,11.3,2
no,0,80,232.5,19.76,14.7,0
no,0,109,164.8,14.01,7.9,0
no,0,84,167.6,14.25,8.4,1
no,32,91,167.3,14.22,6.8,2
no,38,88,225.9,19.2,8.2,0
no,27,101,143.8,12.22,12.3,1
no,0,92,317.5,26.99,8.3,2
no,0,91,195.5,16.62,6.0,1
no,42,57,203.6,17.31,11.4,2
no,0,111,167.7,14.25,11.3,3
no,0,83,256.2,21.78,3.8,0
no,0,111,198.5,16.87,8.0,2
no,0,93,193.0,16.41,13.1,1
no,0,125,81.9,6.96,12.0,0
no,0,96,205.5,17.47,11.9,0
no,0,117,152.4,12.95,8.6,1
no,0,132,244.1,20.75,9.1,2
yes,0,148,230.3,19.58,11.4,1
no,0,74,148.5,12.62,11.3,1
no,33,72,194.5,16.53,14.2,2
no,0,91,167.7,14.25,8.4,1
no,0,87,195.7,16.63,7.8,2
no,0,65,262.8,22.34,11.2,1
no,11,129,284.3,24.17,12.3,1
no,28,94,291.2,24.75,10.0,2
yes,0,106,249.4,21.2,12.9,1
no,0,114,215.9,18.35,0.0,1
yes,42,125,232.3,19.75,9.3,2
no,0,108,171.8,14.6,5.3,1
no,0,80,215.1,18.28,13.1,2
no,0,74,215.6,18.33,10.0,2
no,32,77,208.2,17.7,12.0,3
no,0,80,165.0,14.03,10.7,0
yes,0,92,114.0,9.69,14.1,5
no,0,89,211.3,17.96,10.7,2
no,0,77,220.9,18.78,9.2,4
no,38,112,201.8,17.15,16.1,0
no,24,112,183.4,15.59,9.9,0
no,0,104,211.2,17.95,10.2,3
no,0,109,147.0,12.5,7.2,4
no,0,115,158.8,13.5,9.3,4
no,0,129,242.2,20.59,6.4,0
no,0,87,266.5,22.65,7.1,0
no,0,107,228.4,19.41,7.7,0
no,0,72,165.7,14.08,8.4,1
no,25,112,178.9,15.21,12.9,2
no,0,118,179.1,15.22,10.3,0
no,0,116,192.4,16.35,10.1,2
no,0,107,58.6,4.98,8.7,1
no,0,101,97.6,8.3,7.0,0
no,38,158,133.9,11.38,13.3,1
no,0,72,188.5,16.02,8.8,1
no,0,97,89.8,7.63,15.3,1
no,26,71,145.9,12.4,9.9,1
no,0,127,150.0,12.75,10.7,1
no,29,82,203.8,17.32,9.9,0
no,25,140,224.1,19.05,11.8,0
no,0,97,177.8,15.11,12.2,1
no,0,108,218.1,18.54,12.5,1
no,0,122,240.5,20.44,5.0,1
no,25,88,151.5,12.88,14.3,1
no,0,106,175.2,14.89,12.5,2
no,0,81,247.5,21.04,8.9,0
no,27,119,206.5,17.55,6.5,1
yes,0,113,222.0,18.87,6.7,0
no,0,112,221.3,18.81,8.2,1
no,0,88,175.2,14.89,0.0,0
no,19,150,226.7,19.27,7.5,1
no,0,115,216.2,18.38,11.8,3
no,0,101,213.7,18.16,12.4,3
no,0,97,204.1,17.35,12.3,3
no,0,97,221.1,18.79,12.4,2
no,0,72,247.5,21.04,6.9,3
no,0,115,207.0,17.6,8.2,1
no,42,79,223.1,18.96,12.9,0
no,0,100,184.6,15.69,13.3,2
no,0,95,239.3,20.34,10.0,2
no,0,87,170.4,14.48,9.5,1
no,0,105,159.0,13.52,7.2,0
no,0,120,198.6,16.88,6.0,1
no,0,78,249.6,21.22,14.2,1
no,29,121,223.1,18.96,13.0,1
no,0,127,195.6,16.63,5.1,1
no,0,95,165.8,14.09,2.2,3
no,35,104,272.8,23.19,8.3,1
no,0,96,244.0,20.74,9.1,2
yes,0,128,102.8,8.74,10.5,4
no,0,78,205.5,17.47,12.2,0
no,0,93,189.7,16.12,10.4,4
yes,28,100,246.5,20.95,12.9,2
no,0,115,179.6,15.27,10.1,3
no,29,97,189.2,16.08,12.8,3
no,0,104,80.6,6.85,5.8,3
no,0,112,187.1,15.9,7.9,0
no,0,115,258.8,22.0,7.4,2
no,0,100,118.5,10.07,17.1,0
no,0,93,155.6,13.23,13.3,0
no,0,98,292.8,24.89,10.6,1
no,15,85,267.0,22.7,10.9,1
yes,0,129,202.6,17.22,12.5,1
no,0,95,256.1,21.77,11.7,3
no,0,122,214.7,18.25,11.8,1
no,0,116,188.2,16.0,12.3,3
no,0,106,236.7,20.12,11.3,3
no,0,79,162.6,13.82,12.1,1
yes,0,165,168.3,14.31,11.7,5
yes,0,105,246.1,20.92,10.4,1
no,24,98,230.2,19.57,10.0,2
no,0,85,243.2,20.67,9.9,1
no,19,103,223.0,18.96,7.3,2
no,19,78,194.5,16.53,16.9,0
no,0,103,138.5,11.77,9.0,2
no,0,62,180.8,15.37,12.7,1
no,37,109,210.5,17.89,11.8,1
yes,0,73,164.9,14.02,12.3,5
no,33,87,197.6,16.8,12.2,2
yes,26,111,215.2,18.29,14.4,1
no,34,97,224.2,19.06,11.3,1
no,0,81,223.7,19.01,13.6,1
no,0,108,188.4,16.01,11.7,2
no,39,108,169.2,14.38,10.1,1
no,0,74,213.4,18.14,7.9,1
no,29,113,275.4,23.41,10.0,0
no,0,30,144.3,12.27,10.8,2
no,0,117,219.4,18.65,4.0,1
no,32,123,165.2,14.04,10.6,0
no,0,110,91.7,7.79,9.7,3
no,24,94,138.7,11.79,11.3,0
no,0,105,207.2,17.61,5.6,1
no,26,110,205.2,17.44,8.1,1
yes,0,120,211.3,17.96,11.1,4
no,0,117,217.1,18.45,11.8,1
no,0,123,176.6,15.01,7.8,1
no,0,110,206.7,17.57,11.1,1
no,0,122,245.9,20.9,6.4,0
no,28,70,154.8,13.16,10.6,0
no,0,55,179.1,15.22,8.2,3
no,0,78,142.6,12.12,10.9,0
no,32,117,129.8,11.03,12.0,2
no,26,94,289.4,24.6,8.0,0
no,0,95,205.9,17.5,12.9,1
no,0,108,213.0,18.11,5.4,1
no,0,104,224.2,19.06,15.2,0
no,0,88,180.8,15.37,12.8,1
no,0,81,167.7,14.25,9.2,2
no,39,98,271.2,23.05,5.8,1
no,32,78,102.2,8.69,8.6,0
no,0,89,194.4,16.52,9.7,4
no,0,108,189.3,16.09,14.1,3
no,36,54,238.8,20.3,11.2,3
no,0,92,195.7,16.63,13.1,0
no,35,89,148.2,12.6,7.5,1
yes,0,108,178.4,15.16,14.4,3
no,32,82,165.3,14.05,9.0,2
no,0,122,242.1,20.58,9.7,2
no,0,92,217.0,18.45,9.8,3
no,12,92,228.9,19.46,8.7,0
no,26,94,239.5,20.36,5.9,2
no,0,122,145.0,12.33,9.3,1
no,28,106,223.5,19.0,11.2,0
no,0,56,56.0,4.76,8.9,0
no,0,63,208.4,17.71,9.2,2
yes,0,98,251.8,21.4,7.2,4
